name,rating,price_level,user_ratings_total,latitude,longitude
Pappy's Smokehouse,4.7,2.0,7904.0,38.6350254,-90.2239865
Broadway Oyster Bar,4.6,2.0,7550.0,38.6188501,-90.1924284
Zia's on The Hill,4.6,2.0,3263.0,38.615681,-90.274941
John D. McGurk's Irish Pub and Garden,4.6,2.0,3132.0,38.60762440000001,-90.2099683
Blues City Deli,4.9,1.0,2310.0,38.6050506,-90.2181734
Bogart's Smokehouse,4.7,2.0,1888.0,38.6108817,-90.2027026
Cunetto House of Pasta,4.6,2.0,1691.0,38.61034169999999,-90.2802953
Charlie Gitto's On the Hill,4.7,3.0,2375.0,38.6180487,-90.2734451
Lemp Mansion,4.6,2.0,1629.0,38.593175,-90.215876
The Fountain on Locust,4.7,2.0,2813.0,38.6361553,-90.2230418
Anthonino's Taverna,4.6,2.0,3017.0,38.6143767,-90.2778436
Ferguson Brewing Co.,4.6,2.0,1269.0,38.7382199,-90.3023537
Hendel's,4.7,2.0,1992.0,38.79527399999999,-90.325512
Chick-fil-A,4.6,1.0,2189.0,38.6024927,-90.4354988
Eleven Eleven Mississippi,4.6,2.0,1440.0,38.6196344,-90.2128504
Southwest Diner,4.7,1.0,1853.0,38.6133818,-90.3056081
Gioia's Deli,4.8,1.0,2129.0,38.6173995,-90.2767997
City Coffee & Creperie,4.6,2.0,1115.0,38.6515931,-90.3409688
The Gramophone,4.7,1.0,2779.0,38.6272656,-90.255847
Mi Ranchito,4.6,1.0,3227.0,38.6616548,-90.3087283
Corner 17,4.6,2.0,2135.0,38.6562843,-90.3064642
Brasserie by Niche,4.6,3.0,1141.0,38.6400684,-90.2618421
Up-Down STL,4.7,1.0,2130.0,38.648793,-90.2610558
Dewey's Pizza,4.7,2.0,1119.0,38.6590397,-90.3379598
5 Star Burgers,4.6,2.0,1190.0,38.6523675,-90.3424517
801 Chophouse,4.6,4.0,1099.0,38.64879079999999,-90.33261050000002
The Capital Grille,4.7,4.0,1129.0,38.64847669999999,-90.3347882
Sauce on the Side,4.7,2.0,1137.0,38.649953,-90.3374885
The Original Pancake House Ladue,4.6,2.0,2086.0,38.653837,-90.3495817
Michael's Bar & Grill,4.6,2.0,2013.0,38.616225,-90.3104611
Mac's Local Eats,4.6,2.0,1873.0,38.6301504,-90.2813523
